typL,liczbaL,typS,liczbS,typP,liczbaP
artylerzysci,165,artylerzysci,275,artylerzysci,122
piechurzy,472,piechurzy,110,piechurzy,159
artylerzysci,412,konnica,4,piechurzy,120
konnica,28,konnica,15,konnica,16
artylerzysci,199,piechurzy,172,konnica,249
konnica,255,artylerzysci,151,artylerzysci,57
konnica,456,artylerzysci,32,piechurzy,21
piechurzy,337,piechurzy,331,konnica,65
artylerzysci,209,konnica,92,piechurzy,189
artylerzysci,417,piechurzy,182,artylerzysci,8
konnica,315,piechurzy,61,artylerzysci,89
artylerzysci,223,artylerzysci,44,piechurzy,61
artylerzysci,36,piechurzy,351,piechurzy,202
artylerzysci,410,piechurzy,194,konnica,2
konnica,329,piechurzy,120,konnica,21
piechurzy,492,artylerzysci,83,piechurzy,29
artylerzysci,1,piechurzy,94,konnica,307
konnica,370,konnica,55,artylerzysci,10
piechurzy,376,konnica,212,artylerzysci,49
artylerzysci,115,artylerzysci,319,konnica,32
artylerzysci,223,piechurzy,317,konnica,18
piechurzy,497,artylerzysci,87,piechurzy,184
piechurzy,117,artylerzysci,41,piechurzy,316
konnica,296,artylerzysci,144,konnica,49
artylerzysci,41,konnica,51,artylerzysci,254
konnica,234,artylerzysci,170,piechurzy,2
artylerzysci,344,piechurzy,79,konnica,121
konnica,288,artylerzysci,177,konnica,26
artylerzysci,354,piechurzy,107,piechurzy,123
piechurzy,223,artylerzysci,166,piechurzy,133
konnica,61,artylerzysci,255,konnica,236
konnica,407,piechurzy,75,artylerzysci,50
konnica,9,konnica,119,konnica,260
konnica,76,artylerzysci,75,piechurzy,320
konnica,270,piechurzy,48,piechurzy,183
artylerzysci,468,konnica,56,konnica,38
konnica,173,artylerzysci,323,konnica,32
artylerzysci,181,piechurzy,348,artylerzysci,49
artylerzysci,65,konnica,2,piechurzy,93
konnica,360,konnica,137,piechurzy,5
konnica,319,piechurzy,92,artylerzysci,51
artylerzysci,203,artylerzysci,328,piechurzy,5
konnica,468,konnica,6,artylerzysci,4
konnica,98,piechurzy,100,konnica,25
konnica,306,konnica,18,piechurzy,138
piechurzy,103,konnica,336,artylerzysci,89
piechurzy,13,konnica,135,piechurzy,338
artylerzysci,335,artylerzysci,119,konnica,75
konnica,11,piechurzy,437,artylerzysci,24
artylerzysci,252,konnica,69,piechurzy,243
konnica,67,piechurzy,275,piechurzy,201
konnica,300,konnica,145,konnica,20
artylerzysci,495,konnica,11,artylerzysci,110
artylerzysci,463,piechurzy,110,artylerzysci,5
piechurzy,491,artylerzysci,11,artylerzysci,147
artylerzysci,413,artylerzysci,20,konnica,45
artylerzysci,103,konnica,422,piechurzy,2
artylerzysci,283,konnica,269,konnica,2
konnica,287,konnica,143,konnica,67
artylerzysci,495,artylerzysci,111,konnica,5
konnica,68,konnica,136,artylerzysci,127
konnica,464,konnica,32,piechurzy,2
piechurzy,264,konnica,165,artylerzysci,125
artylerzysci,158,piechurzy,363,konnica,85
piechurzy,300,piechurzy,231,piechurzy,125
artylerzysci,93,piechurzy,311,konnica,1
piechurzy,17,konnica,433,artylerzysci,15
piechurzy,47,artylerzysci,332,konnica,181
piechurzy,81,piechurzy,441,artylerzysci,115
piechurzy,263,piechurzy,358,konnica,43
artylerzysci,281,piechurzy,234,konnica,140
konnica,39,konnica,133,piechurzy,138
konnica,376,konnica,65,artylerzysci,34
artylerzysci,142,konnica,249,artylerzysci,41
konnica,100,artylerzysci,75,konnica,256
piechurzy,345,artylerzysci,285,piechurzy,115
piechurzy,489,piechurzy,90,piechurzy,108
artylerzysci,164,piechurzy,161,artylerzysci,219
konnica,331,piechurzy,93,konnica,54
piechurzy,329,konnica,28,artylerzysci,190
piechurzy,79,piechurzy,273,piechurzy,251
piechurzy,286,piechurzy,314,artylerzysci,136
konnica,124,piechurzy,199,konnica,46
piechurzy,124,artylerzysci,293,artylerzysci,175
artylerzysci,104,konnica,89,piechurzy,201
piechurzy,309,konnica,237,piechurzy,72
konnica,48,artylerzysci,89,konnica,66
konnica,158,artylerzysci,273,piechurzy,101
piechurzy,383,artylerzysci,294,artylerzysci,1
konnica,166,piechurzy,161,piechurzy,49
konnica,159,piechurzy,45,piechurzy,297
piechurzy,349,artylerzysci,35,konnica,133
konnica,321,artylerzysci,148,konnica,22
konnica,343,konnica,136,artylerzysci,14
konnica,37,konnica,141,piechurzy,174
artylerzysci,372,konnica,139,artylerzysci,56
konnica,59,konnica,278,artylerzysci,37
artylerzysci,404,piechurzy,1,piechurzy,95
artylerzysci,88,artylerzysci,411,artylerzysci,35
artylerzysci,103,piechurzy,383,piechurzy,130
piechurzy,362,konnica,184,artylerzysci,29
artylerzysci,371,artylerzysci,202,piechurzy,35
piechurzy,256,konnica,219,piechurzy,115
piechurzy,96,konnica,12,konnica,402
artylerzysci,359,piechurzy,13,konnica,31
artylerzysci,466,piechurzy,5,artylerzysci,52
artylerzysci,404,piechurzy,3,konnica,158
konnica,281,piechurzy,133,konnica,86
artylerzysci,465,konnica,93,piechurzy,38
artylerzysci,140,piechurzy,142,piechurzy,53
konnica,56,konnica,164,artylerzysci,192
artylerzysci,85,konnica,409,artylerzysci,7
artylerzysci,381,artylerzysci,213,piechurzy,14
artylerzysci,123,piechurzy,94,artylerzysci,34
piechurzy,176,piechurzy,168,konnica,238
artylerzysci,206,piechurzy,143,artylerzysci,6
artylerzysci,202,artylerzysci,106,artylerzysci,94
konnica,338,artylerzysci,78,piechurzy,49
konnica,376,artylerzysci,39,piechurzy,40
artylerzysci,226,konnica,131,piechurzy,104
artylerzysci,254,konnica,151,artylerzysci,39
konnica,24,artylerzysci,39,piechurzy,153
konnica,7,piechurzy,180,artylerzysci,370
konnica,52,artylerzysci,270,piechurzy,172
konnica,69,piechurzy,16,konnica,226
piechurzy,487,artylerzysci,144,piechurzy,128
konnica,419,piechurzy,52,artylerzysci,16
konnica,309,konnica,175,artylerzysci,12
artylerzysci,19,artylerzysci,429,konnica,83
piechurzy,317,konnica,334,piechurzy,6
konnica,201,piechurzy,215,artylerzysci,151
konnica,372,artylerzysci,62,konnica,38
konnica,375,konnica,111,artylerzysci,9
konnica,26,artylerzysci,341,piechurzy,145
konnica,373,piechurzy,13,piechurzy,99
konnica,187,piechurzy,298,piechurzy,164
piechurzy,193,artylerzysci,23,konnica,223
artylerzysci,282,artylerzysci,147,konnica,81
konnica,30,piechurzy,380,konnica,217
konnica,285,piechurzy,192,konnica,116
artylerzysci,376,artylerzysci,199,konnica,36
konnica,461,piechurzy,38,piechurzy,10
konnica,191,konnica,190,konnica,34
konnica,465,artylerzysci,14,konnica,18
konnica,138,artylerzysci,28,artylerzysci,9
artylerzysci,453,konnica,34,artylerzysci,35
konnica,367,konnica,74,konnica,42
artylerzysci,122,artylerzysci,234,konnica,12
artylerzysci,132,artylerzysci,320,konnica,69
piechurzy,491,artylerzysci,246,artylerzysci,51
artylerzysci,253,artylerzysci,5,piechurzy,192
konnica,108,konnica,50,konnica,101
artylerzysci,338,artylerzysci,138,artylerzysci,79
konnica,114,konnica,143,piechurzy,161
artylerzysci,443,konnica,50,piechurzy,52
konnica,172,artylerzysci,66,piechurzy,49
konnica,69,artylerzysci,353,konnica,45
piechurzy,361,konnica,154,artylerzysci,81
piechurzy,360,konnica,149,artylerzysci,69
piechurzy,23,artylerzysci,261,konnica,232
konnica,32,artylerzysci,246,artylerzysci,146
konnica,257,piechurzy,142,konnica,129
piechurzy,152,artylerzysci,63,piechurzy,71
artylerzysci,338,piechurzy,124,piechurzy,37
piechurzy,356,piechurzy,263,artylerzysci,60
konnica,309,piechurzy,133,konnica,112
piechurzy,287,konnica,58,piechurzy,176
konnica,430,konnica,22,artylerzysci,40
artylerzysci,215,konnica,4,artylerzysci,108
artylerzysci,482,artylerzysci,9,artylerzysci,46
artylerzysci,74,artylerzysci,207,piechurzy,94
piechurzy,260,piechurzy,71,konnica,68
piechurzy,223,piechurzy,43,konnica,84
artylerzysci,467,piechurzy,88,konnica,21
konnica,283,piechurzy,166,konnica,107
konnica,314,piechurzy,86,konnica,142
konnica,498,konnica,4,artylerzysci,1
artylerzysci,451,konnica,107,piechurzy,3
artylerzysci,366,piechurzy,126,konnica,152
piechurzy,13,piechurzy,374,piechurzy,83
artylerzysci,278,konnica,91,konnica,108
konnica,25,artylerzysci,394,artylerzysci,180
piechurzy,203,piechurzy,362,piechurzy,77
konnica,251,konnica,220,konnica,1
piechurzy,495,piechurzy,111,konnica,24
konnica,151,piechurzy,62,konnica,225
konnica,257,piechurzy,210,konnica,71
piechurzy,177,artylerzysci,77,artylerzysci,221
konnica,148,artylerzysci,81,konnica,130
konnica,437,konnica,39,artylerzysci,2
piechurzy,287,artylerzysci,123,konnica,190
artylerzysci,206,konnica,136,piechurzy,204
artylerzysci,349,artylerzysci,71,artylerzysci,75
piechurzy,52,konnica,395,artylerzysci,68
artylerzysci,420,piechurzy,82,artylerzysci,121
artylerzysci,127,konnica,282,artylerzysci,34
artylerzysci,321,piechurzy,175,konnica,121
konnica,416,piechurzy,60,konnica,33
piechurzy,270,piechurzy,37,artylerzysci,15
artylerzysci,37,piechurzy,196,piechurzy,373
artylerzysci,502,artylerzysci,49,artylerzysci,63
konnica,163,konnica,85,artylerzysci,192
artylerzysci,166,piechurzy,133,konnica,164
artylerzysci,56,piechurzy,411,piechurzy,30
konnica,52,artylerzysci,146,piechurzy,14
konnica,394,konnica,101,artylerzysci,6
konnica,303,piechurzy,3,artylerzysci,139
piechurzy,247,konnica,80,konnica,218
artylerzysci,492,konnica,63,piechurzy,9
konnica,292,piechurzy,144,artylerzysci,132
piechurzy,102,piechurzy,252,konnica,245
konnica,350,artylerzysci,87,piechurzy,9
artylerzysci,198,artylerzysci,332,piechurzy,66
konnica,247,artylerzysci,54,piechurzy,79
artylerzysci,165,piechurzy,113,piechurzy,207
artylerzysci,221,piechurzy,29,artylerzysci,87
piechurzy,197,artylerzysci,224,piechurzy,233
piechurzy,43,konnica,82,piechurzy,330
artylerzysci,5,artylerzysci,87,piechurzy,314
artylerzysci,52,piechurzy,144,konnica,293
piechurzy,465,piechurzy,137,konnica,191
piechurzy,120,artylerzysci,190,konnica,255
artylerzysci,493,artylerzysci,72,piechurzy,78
artylerzysci,371,piechurzy,139,artylerzysci,49
piechurzy,228,artylerzysci,351,artylerzysci,64
konnica,177,konnica,110,artylerzysci,71
piechurzy,301,piechurzy,57,piechurzy,280
artylerzysci,139,konnica,105,artylerzysci,77
artylerzysci,218,piechurzy,214,konnica,128
konnica,387,artylerzysci,1,konnica,43
piechurzy,408,piechurzy,226,konnica,150
piechurzy,55,artylerzysci,416,konnica,80
artylerzysci,175,artylerzysci,175,konnica,231
artylerzysci,18,artylerzysci,146,konnica,1
artylerzysci,330,piechurzy,170,artylerzysci,40
konnica,134,piechurzy,291,piechurzy,35
piechurzy,93,piechurzy,407,konnica,218
konnica,36,piechurzy,358,konnica,212
piechurzy,300,piechurzy,43,piechurzy,201
artylerzysci,424,piechurzy,70,artylerzysci,92
konnica,273,artylerzysci,136,artylerzysci,7
konnica,308,konnica,45,piechurzy,14
piechurzy,431,piechurzy,138,konnica,121
artylerzysci,416,artylerzysci,7,artylerzysci,30
konnica,335,piechurzy,156,piechurzy,83
artylerzysci,237,konnica,259,konnica,17
konnica,376,piechurzy,115,artylerzysci,39
artylerzysci,477,konnica,131,artylerzysci,1
konnica,66,artylerzysci,375,konnica,111
piechurzy,359,piechurzy,11,piechurzy,211
artylerzysci,443,piechurzy,114,artylerzysci,38
piechurzy,375,artylerzysci,184,piechurzy,165
konnica,344,piechurzy,135,piechurzy,37
artylerzysci,475,artylerzysci,128,konnica,35
piechurzy,346,konnica,257,konnica,62
piechurzy,349,piechurzy,191,konnica,76
artylerzysci,9,artylerzysci,355,konnica,25
piechurzy,407,artylerzysci,43,konnica,75
konnica,51,konnica,307,artylerzysci,114
piechurzy,364,artylerzysci,135,konnica,169
artylerzysci,217,artylerzysci,13,artylerzysci,251
artylerzysci,86,piechurzy,333,konnica,35
artylerzysci,231,artylerzysci,177,konnica,108
konnica,224,konnica,88,piechurzy,176
konnica,394,artylerzysci,94,piechurzy,31
artylerzysci,378,piechurzy,158,konnica,28
konnica,90,konnica,156,piechurzy,130
artylerzysci,92,piechurzy,247,konnica,307
konnica,468,konnica,34,piechurzy,1
konnica,448,artylerzysci,41,artylerzysci,21
artylerzysci,441,artylerzysci,150,konnica,24
piechurzy,212,piechurzy,194,artylerzysci,183
artylerzysci,46,piechurzy,133,artylerzysci,82
konnica,216,piechurzy,143,artylerzysci,86
konnica,420,artylerzysci,52,piechurzy,13
konnica,71,piechurzy,229,konnica,305
konnica,123,konnica,50,konnica,162
artylerzysci,37,konnica,31,piechurzy,90
konnica,217,konnica,220,konnica,18
piechurzy,404,konnica,39,piechurzy,140
artylerzysci,230,piechurzy,19,konnica,222
artylerzysci,374,piechurzy,83,konnica,102
artylerzysci,16,konnica,175,artylerzysci,158
piechurzy,451,konnica,108,konnica,10
artylerzysci,135,artylerzysci,86,piechurzy,186
artylerzysci,428,konnica,82,konnica,58
artylerzysci,117,konnica,190,piechurzy,79
piechurzy,183,artylerzysci,140,konnica,281
konnica,439,piechurzy,36,artylerzysci,27
konnica,7,piechurzy,481,artylerzysci,14
konnica,15,artylerzysci,199,konnica,114
konnica,185,artylerzysci,61,konnica,269
konnica,183,piechurzy,181,piechurzy,58
konnica,432,piechurzy,42,konnica,29
piechurzy,16,konnica,472,piechurzy,3
piechurzy,356,konnica,295,konnica,15
artylerzysci,50,artylerzysci,283,artylerzysci,116
piechurzy,89,konnica,156,artylerzysci,40
artylerzysci,371,artylerzysci,96,artylerzysci,8
piechurzy,369,konnica,289,artylerzysci,15
konnica,69,piechurzy,159,artylerzysci,330
piechurzy,197,piechurzy,177,piechurzy,130
artylerzysci,189,konnica,348,artylerzysci,4
piechurzy,398,artylerzysci,158,artylerzysci,72
artylerzysci,379,piechurzy,143,konnica,67
piechurzy,452,konnica,64,artylerzysci,190
konnica,186,konnica,301,artylerzysci,1
piechurzy,295,artylerzysci,282,konnica,113
konnica,464,piechurzy,37,artylerzysci,9
konnica,495,artylerzysci,2,piechurzy,3
konnica,366,piechurzy,74,konnica,80
piechurzy,472,konnica,47,artylerzysci,16
konnica,101,piechurzy,112,konnica,46
artylerzysci,265,artylerzysci,78,konnica,37
artylerzysci,132,konnica,397,piechurzy,3
artylerzysci,280,konnica,46,piechurzy,206
piechurzy,48,konnica,476,konnica,2
artylerzysci,439,piechurzy,45,artylerzysci,127
piechurzy,403,konnica,151,konnica,9
piechurzy,263,konnica,37,artylerzysci,106
piechurzy,132,artylerzysci,175,piechurzy,187
artylerzysci,455,piechurzy,81,konnica,40
konnica,201,piechurzy,61,piechurzy,104
konnica,236,piechurzy,80,artylerzysci,43
artylerzysci,120,artylerzysci,322,artylerzysci,78
artylerzysci,389,piechurzy,113,artylerzysci,87
piechurzy,347,artylerzysci,322,konnica,38
piechurzy,93,konnica,96,artylerzysci,112
konnica,342,piechurzy,92,konnica,14
artylerzysci,180,konnica,312,piechurzy,54
piechurzy,65,konnica,43,konnica,34
artylerzysci,126,konnica,251,piechurzy,87
artylerzysci,96,artylerzysci,98,piechurzy,10
artylerzysci,58,konnica,118,artylerzysci,264
artylerzysci,163,konnica,347,piechurzy,11
konnica,89,piechurzy,95,artylerzysci,168
piechurzy,197,artylerzysci,234,piechurzy,63
piechurzy,19,piechurzy,294,konnica,138
piechurzy,441,artylerzysci,150,artylerzysci,94
konnica,219,konnica,147,artylerzysci,117
piechurzy,27,artylerzysci,170,artylerzysci,40
artylerzysci,105,piechurzy,162,konnica,180
artylerzysci,411,konnica,189,piechurzy,2
konnica,212,konnica,289,artylerzysci,1
piechurzy,49,artylerzysci,386,konnica,100
piechurzy,267,piechurzy,304,artylerzysci,188
konnica,440,konnica,16,artylerzysci,35
artylerzysci,474,konnica,126,konnica,19
artylerzysci,486,artylerzysci,39,artylerzysci,73
artylerzysci,430,piechurzy,134,piechurzy,16
piechurzy,387,artylerzysci,295,artylerzysci,57
piechurzy,468,piechurzy,98,piechurzy,195
konnica,413,artylerzysci,26,konnica,42
piechurzy,405,artylerzysci,204,artylerzysci,40
konnica,12,piechurzy,62,piechurzy,290
piechurzy,418,piechurzy,292,artylerzysci,48
piechurzy,184,konnica,20,artylerzysci,249
artylerzysci,60,artylerzysci,443,konnica,101
piechurzy,187,piechurzy,45,piechurzy,358
piechurzy,424,artylerzysci,192,artylerzysci,49
artylerzysci,176,artylerzysci,18,konnica,13
piechurzy,43,artylerzysci,269,konnica,187
artylerzysci,391,konnica,32,artylerzysci,132
konnica,294,artylerzysci,90,artylerzysci,22
artylerzysci,373,artylerzysci,207,artylerzysci,31
konnica,211,artylerzysci,105,konnica,4
artylerzysci,474,piechurzy,39,artylerzysci,82
konnica,256,artylerzysci,50,konnica,164
konnica,87,artylerzysci,307,piechurzy,32
konnica,198,piechurzy,16,artylerzysci,6
piechurzy,178,konnica,313,piechurzy,14
piechurzy,354,artylerzysci,141,piechurzy,130
artylerzysci,174,artylerzysci,112,konnica,269
konnica,301,artylerzysci,97,konnica,60
konnica,52,piechurzy,134,konnica,215
artylerzysci,481,artylerzysci,74,konnica,49
artylerzysci,200,konnica,95,piechurzy,121
piechurzy,402,artylerzysci,39,artylerzysci,92
artylerzysci,354,artylerzysci,21,piechurzy,199
konnica,130,konnica,353,piechurzy,5
artylerzysci,72,piechurzy,135,konnica,228
artylerzysci,365,konnica,163,artylerzysci,58
konnica,269,piechurzy,151,artylerzysci,124
piechurzy,187,piechurzy,4,artylerzysci,294
piechurzy,150,piechurzy,201,konnica,137
konnica,352,piechurzy,1,konnica,54
piechurzy,330,artylerzysci,44,artylerzysci,146
konnica,102,artylerzysci,10,konnica,138
artylerzysci,265,artylerzysci,34,konnica,223
konnica,2,artylerzysci,111,konnica,369
piechurzy,347,piechurzy,138,konnica,134
konnica,240,piechurzy,48,piechurzy,54
konnica,471,piechurzy,18,artylerzysci,17
artylerzysci,476,piechurzy,86,piechurzy,28
artylerzysci,435,piechurzy,110,piechurzy,8
artylerzysci,469,artylerzysci,138,artylerzysci,37
piechurzy,159,konnica,91,artylerzysci,250
artylerzysci,202,piechurzy,305,piechurzy,135
artylerzysci,226,piechurzy,257,piechurzy,180
artylerzysci,141,artylerzysci,266,artylerzysci,96
konnica,164,artylerzysci,125,artylerzysci,136
piechurzy,239,piechurzy,373,artylerzysci,128
konnica,242,konnica,194,piechurzy,42
artylerzysci,311,artylerzysci,226,piechurzy,54
artylerzysci,113,konnica,77,konnica,174
piechurzy,445,piechurzy,84,piechurzy,208
piechurzy,2,piechurzy,360,piechurzy,1
piechurzy,203,artylerzysci,281,konnica,78
artylerzysci,410,artylerzysci,112,konnica,90
piechurzy,17,artylerzysci,58,artylerzysci,186
piechurzy,49,artylerzysci,377,piechurzy,2
artylerzysci,91,konnica,301,artylerzysci,107
artylerzysci,130,piechurzy,37,artylerzysci,109
piechurzy,70,artylerzysci,369,konnica,186
artylerzysci,348,piechurzy,235,konnica,94
piechurzy,480,piechurzy,247,konnica,35
artylerzysci,150,artylerzysci,19,konnica,137
piechurzy,208,artylerzysci,210,konnica,188
artylerzysci,411,piechurzy,45,piechurzy,84
artylerzysci,357,konnica,10,artylerzysci,114
konnica,322,artylerzysci,100,artylerzysci,90
artylerzysci,500,piechurzy,70,konnica,90
piechurzy,66,artylerzysci,18,artylerzysci,439
piechurzy,116,artylerzysci,293,piechurzy,198
artylerzysci,201,piechurzy,247,artylerzysci,172
piechurzy,241,konnica,27,artylerzysci,40
konnica,250,piechurzy,88,piechurzy,48
piechurzy,326,konnica,323,piechurzy,3
konnica,447,konnica,49,piechurzy,2
piechurzy,457,piechurzy,145,artylerzysci,179
artylerzysci,377,piechurzy,211,artylerzysci,22
artylerzysci,456,konnica,24,konnica,23
konnica,51,artylerzysci,28,konnica,379
konnica,322,konnica,169,artylerzysci,1
artylerzysci,44,artylerzysci,453,konnica,79
piechurzy,47,piechurzy,159,konnica,333
konnica,441,artylerzysci,33,piechurzy,14
piechurzy,360,konnica,185,artylerzysci,96
piechurzy,422,artylerzysci,104,konnica,14
artylerzysci,144,piechurzy,299,artylerzysci,113
artylerzysci,119,konnica,80,piechurzy,332
piechurzy,197,piechurzy,243,konnica,56
piechurzy,322,konnica,145,konnica,178
piechurzy,205,piechurzy,387,artylerzysci,85
konnica,187,piechurzy,259,artylerzysci,135
piechurzy,303,piechurzy,134,artylerzysci,257
konnica,260,artylerzysci,200,konnica,15
piechurzy,496,konnica,229,artylerzysci,8
artylerzysci,150,konnica,251,piechurzy,16
piechurzy,232,piechurzy,230,konnica,79
artylerzysci,21,artylerzysci,350,konnica,127
konnica,156,artylerzysci,52,artylerzysci,239
artylerzysci,220,piechurzy,256,konnica,101
piechurzy,187,artylerzysci,372,artylerzysci,42
piechurzy,80,artylerzysci,266,konnica,127
artylerzysci,43,konnica,129,piechurzy,148
konnica,349,artylerzysci,70,konnica,54
piechurzy,136,piechurzy,237,piechurzy,91
artylerzysci,343,artylerzysci,143,piechurzy,5
piechurzy,289,artylerzysci,333,artylerzysci,53
artylerzysci,385,piechurzy,122,konnica,9
artylerzysci,160,konnica,368,piechurzy,5
piechurzy,259,konnica,29,artylerzysci,18
artylerzysci,383,piechurzy,179,konnica,31
konnica,389,artylerzysci,75,artylerzysci,30
artylerzysci,258,artylerzysci,185,artylerzysci,40
artylerzysci,272,artylerzysci,43,konnica,241
artylerzysci,495,artylerzysci,60,artylerzysci,48
konnica,484,piechurzy,14,konnica,9
piechurzy,228,artylerzysci,243,piechurzy,108
konnica,102,konnica,200,artylerzysci,111
konnica,9,konnica,216,piechurzy,119
konnica,356,konnica,26,konnica,24
konnica,11,piechurzy,237,artylerzysci,200
konnica,230,piechurzy,204,piechurzy,79
konnica,458,konnica,19,konnica,4
konnica,221,piechurzy,177,artylerzysci,63
artylerzysci,216,artylerzysci,287,piechurzy,37
piechurzy,78,konnica,417,artylerzysci,19
konnica,483,artylerzysci,11,piechurzy,1
piechurzy,104,artylerzysci,260,artylerzysci,244
artylerzysci,9,piechurzy,307,konnica,313
piechurzy,260,konnica,345,konnica,10
piechurzy,384,piechurzy,145,konnica,237
piechurzy,42,artylerzysci,279,piechurzy,208
artylerzysci,246,artylerzysci,96,konnica,117
konnica,12,piechurzy,110,konnica,110
artylerzysci,293,piechurzy,159,artylerzysci,123
piechurzy,4,artylerzysci,414,konnica,161
konnica,77,konnica,165,piechurzy,214
konnica,494,konnica,2,konnica,6
piechurzy,355,konnica,201,piechurzy,3
konnica,329,artylerzysci,134,artylerzysci,10
konnica,63,piechurzy,319,piechurzy,80
piechurzy,170,konnica,22,piechurzy,68
artylerzysci,383,konnica,64,konnica,143
piechurzy,195,konnica,3,konnica,100
konnica,382,piechurzy,96,artylerzysci,38
artylerzysci,222,artylerzysci,62,konnica,84
piechurzy,486,artylerzysci,99,piechurzy,126
artylerzysci,89,konnica,279,artylerzysci,77
piechurzy,89,piechurzy,356,konnica,128
piechurzy,243,artylerzysci,87,piechurzy,156
konnica,143,piechurzy,137,piechurzy,24
artylerzysci,280,konnica,2,konnica,123
artylerzysci,428,artylerzysci,11,piechurzy,139
konnica,277,piechurzy,82,piechurzy,102
artylerzysci,437,konnica,172,piechurzy,2
piechurzy,432,konnica,70,konnica,133
piechurzy,489,konnica,72,konnica,131
konnica,246,artylerzysci,251,artylerzysci,52
piechurzy,259,konnica,17,artylerzysci,255
piechurzy,282,konnica,77,piechurzy,42
konnica,39,artylerzysci,167,piechurzy,63
artylerzysci,420,artylerzysci,54,artylerzysci,60
artylerzysci,50,konnica,55,konnica,335
konnica,377,piechurzy,36,artylerzysci,47
piechurzy,485,piechurzy,76,piechurzy,166
konnica,40,artylerzysci,36,piechurzy,187
piechurzy,252,konnica,333,piechurzy,26
artylerzysci,331,piechurzy,31,artylerzysci,113
artylerzysci,169,konnica,159,artylerzysci,197
artylerzysci,368,piechurzy,217,piechurzy,82
konnica,458,artylerzysci,12,konnica,33
piechurzy,397,artylerzysci,102,piechurzy,100
konnica,84,konnica,10,piechurzy,19
piechurzy,138,artylerzysci,409,piechurzy,115
piechurzy,8,konnica,99,konnica,381
artylerzysci,464,konnica,94,artylerzysci,8
piechurzy,140,konnica,303,konnica,69
konnica,354,piechurzy,134,konnica,8
piechurzy,382,konnica,29,piechurzy,183
piechurzy,307,piechurzy,68,piechurzy,74
konnica,450,konnica,38,artylerzysci,4
konnica,163,konnica,211,artylerzysci,69
piechurzy,210,artylerzysci,241,piechurzy,137
piechurzy,156,konnica,379,piechurzy,27
artylerzysci,492,konnica,8,artylerzysci,100
artylerzysci,338,piechurzy,9,artylerzysci,74
konnica,276,artylerzysci,140,piechurzy,23
konnica,316,artylerzysci,11,piechurzy,83
piechurzy,41,konnica,13,piechurzy,245
artylerzysci,426,piechurzy,165,artylerzysci,33
piechurzy,365,artylerzysci,185,piechurzy,144
konnica,110,artylerzysci,298,konnica,101
piechurzy,292,artylerzysci,59,konnica,146
artylerzysci,39,artylerzysci,272,piechurzy,105
konnica,269,konnica,204,artylerzysci,7
artylerzysci,220,piechurzy,221,konnica,124
piechurzy,433,artylerzysci,75,piechurzy,201
piechurzy,474,piechurzy,168,artylerzysci,112
artylerzysci,246,konnica,261,konnica,22
konnica,73,artylerzysci,122,piechurzy,114
konnica,45,konnica,367,artylerzysci,52
piechurzy,449,artylerzysci,47,konnica,51
artylerzysci,311,artylerzysci,35,konnica,12
piechurzy,396,artylerzysci,269,artylerzysci,40
artylerzysci,368,artylerzysci,21,piechurzy,33
konnica,103,piechurzy,178,piechurzy,232
konnica,86,piechurzy,213,konnica,179
konnica,51,piechurzy,303,piechurzy,30
piechurzy,24,konnica,439,artylerzysci,28
artylerzysci,315,piechurzy,38,konnica,161
konnica,453,konnica,13,piechurzy,25
artylerzysci,433,konnica,48,piechurzy,117
artylerzysci,392,piechurzy,107,konnica,19
artylerzysci,410,piechurzy,101,konnica,118
konnica,197,artylerzysci,225,piechurzy,32
artylerzysci,257,konnica,205,konnica,76
artylerzysci,388,piechurzy,1,artylerzysci,46
konnica,180,piechurzy,307,piechurzy,125
piechurzy,476,konnica,56,piechurzy,60
artylerzysci,21,piechurzy,213,artylerzysci,327
konnica,174,artylerzysci,327,konnica,49
artylerzysci,98,konnica,300,piechurzy,124
konnica,198,konnica,69,artylerzysci,32
piechurzy,16,artylerzysci,130,artylerzysci,265
konnica,417,artylerzysci,81,konnica,5
konnica,29,konnica,41,piechurzy,34
piechurzy,269,artylerzysci,168,artylerzysci,97
artylerzysci,162,piechurzy,82,konnica,65
piechurzy,437,piechurzy,123,piechurzy,134
konnica,449,konnica,46,konnica,3
piechurzy,461,piechurzy,21,artylerzysci,56
artylerzysci,489,konnica,44,artylerzysci,56
konnica,289,artylerzysci,24,piechurzy,65
konnica,268,piechurzy,15,artylerzysci,45
artylerzysci,95,artylerzysci,150,piechurzy,127
konnica,459,konnica,41,piechurzy,1
konnica,159,artylerzysci,169,artylerzysci,142
artylerzysci,168,artylerzysci,337,artylerzysci,37
piechurzy,419,konnica,30,artylerzysci,98
piechurzy,291,artylerzysci,175,piechurzy,4
piechurzy,358,artylerzysci,20,konnica,39
konnica,279,artylerzysci,72,piechurzy,30
artylerzysci,227,konnica,74,artylerzysci,119
piechurzy,471,piechurzy,238,artylerzysci,76
konnica,217,artylerzysci,270,artylerzysci,41
artylerzysci,25,piechurzy,463,piechurzy,117
artylerzysci,148,artylerzysci,28,konnica,293
artylerzysci,70,konnica,198,piechurzy,28
konnica,312,konnica,178,artylerzysci,6
artylerzysci,371,piechurzy,155,konnica,2
artylerzysci,430,artylerzysci,162,konnica,22
konnica,71,artylerzysci,59,konnica,47
piechurzy,32,piechurzy,12,piechurzy,446
